_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-580.48096,20000,0.02379064,-3.8563783,3.7657654,0.074564494,1.85945,0,5,2.889295697500001,2.2470914018413168e-17,-3.092673477310822,2.9337560039493447,0.999982952802359,-0.4697876081666189,-0.7082444341186692,0.006080992296927856,0.021949844037372077,20,"tf.Tensor(1.7886161363411552, shape=(), dtype=float64)","tf.Tensor(1788.6161361244508, shape=(), dtype=float64)","tf.Tensor(-5.999999812246008e-08, shape=(), dtype=float64)",0.04263559059606094,-0.9420722270318531,-0.2729440728460366
-605.7662,20000,0.045027133,-2.878863,3.1633375,0.030384528,2.0121,0,5,1.8903535899999995,4.707345624410664e-18,-10.602686951617546,8.638898182172936,0.9997981341156364,-0.47914977428961864,-0.7186164614763406,0.00268452007392489,0.028675586478625736,40,"tf.Tensor(1.7868669035719855, shape=(), dtype=float64)","tf.Tensor(1786.866902169216, shape=(), dtype=float64)","tf.Tensor(-5.999999810182491e-08, shape=(), dtype=float64)",0.05549681010821176,-0.9337282993584888,-0.7648311554245069
-435.90094,20000,0.037961915,-3.2019467,3.7549133,0.037780076,1.6048,0,5,1.6965169599999999,9.059419880941278e-18,-8.276512533381116,9.34050831460747,0.99982343219783,-0.3496525619283557,-0.5431230868274376,0.002781414159304074,0.013786059326522389,60,"tf.Tensor(1.763940084757531, shape=(), dtype=float64)","tf.Tensor(1763.9400799453526, shape=(), dtype=float64)","tf.Tensor(-5.999999797333295e-08, shape=(), dtype=float64)",0.028011935684794247,-1.025397087097271,-1.9018530000291056
-416.9677,20000,0.035288744,-3.1940494,3.905658,0.040049553,1.5628,0,5,1.6303561599999998,-6.8389738316909645e-18,-10.110416240558813,11.07489997432471,0.9999174215827603,-0.3372571367486975,-0.5298210721712693,0.0011091272419978195,0.011767666875775058,80,"tf.Tensor(1.7266946867398194, shape=(), dtype=float64)","tf.Tensor(1726.6946871649577, shape=(), dtype=float64)","tf.Tensor(-5.99999979376402e-08, shape=(), dtype=float64)",0.022367465641590128,-0.9007461581894207,-1.0083484418558006
-397.0976,20000,0.03348647,-4.205025,4.3114967,0.04640977,1.5334,0,5,1.58938444,-6.9277916736609765e-18,-10.342022882129491,10.534618249770203,0.9998060087905744,-0.3259475065134679,-0.5092766063262648,0.0029187544737640262,0.010851868781522174,100,"tf.Tensor(1.7179764726969304, shape=(), dtype=float64)","tf.Tensor(1717.9764673157815, shape=(), dtype=float64)","tf.Tensor(-5.999999773690675e-08, shape=(), dtype=float64)",0.020373920066930406,-0.8747636084020731,-0.9330720979077163
-398.562,20000,0.032525156,-3.837409,4.33655,0.046676893,1.54005,0,5,1.5659959975000002,-3.552713678800501e-18,-12.880623048163912,10.15459682725131,0.9997831893558555,-0.32635588134411453,-0.5123298728038228,0.013995771315786042,0.011191013684973985,120,"tf.Tensor(1.6776186210034043, shape=(), dtype=float64)","tf.Tensor(1677.6186125309223, shape=(), dtype=float64)","tf.Tensor(-5.999999750271327e-08, shape=(), dtype=float64)",0.020920311854330687,-0.8693848338664543,-0.8395410479354157
-365.75116,20000,0.024234846,-4.024629,4.4176826,0.06556444,1.4622,0,5,1.7653711599999995,-4.707345624410664e-18,-10.15623529560234,9.29690206450966,0.9998218681184903,-0.3061168008195018,-0.49697586894904444,0.011598891508143675,0.009762689554999624,140,"tf.Tensor(1.6184765819849956, shape=(), dtype=float64)","tf.Tensor(1618.4765681616825, shape=(), dtype=float64)","tf.Tensor(-5.999999702464484e-08, shape=(), dtype=float64)",0.018335802264462745,-0.8619573037532915,-0.9755997472254163
-300.17316,20000,0.015458355,-3.8914337,4.1379375,0.08802114,1.33785,0,5,1.8103073775,1.8562928971732616e-17,-10.786378352310214,13.879410564572142,0.9997572404801053,-0.2507024254361938,-0.43962422495965275,0.0075798573667696925,0.0064017667172642165,160,"tf.Tensor(1.566086237444574, shape=(), dtype=float64)","tf.Tensor(1566.086214180967, shape=(), dtype=float64)","tf.Tensor(-5.999999543613208e-08, shape=(), dtype=float64)",0.013546600311657116,-1.051661217752935,-1.3164884504464607
-287.30737,20000,0.015657816,-3.5696154,3.9377618,0.08960005,1.3117,0,5,1.8256431100000001,-7.149836278586008e-18,-4.621385485139402,5.740113931451536,0.9998665879880113,-0.24337861123177795,-0.4207758277823326,0.010766956249194588,0.0065060023584229245,180,"tf.Tensor(1.4898184034909896, shape=(), dtype=float64)","tf.Tensor(1489.8183564242215, shape=(), dtype=float64)","tf.Tensor(-5.99999881631312e-08, shape=(), dtype=float64)",0.010651966079691298,-0.6268419859324237,-1.0207037162393657
-261.4093,20000,0.012063021,-3.4918652,3.9318583,0.097380616,1.2567,0,5,1.8935051099999998,-1.0569323194431491e-17,-5.541348391551864,8.018998071092385,0.9996899382416755,-0.2183294710377019,-0.3777191185369131,0.009125363847153855,0.0055376146276276865,200,"tf.Tensor(1.4398399756312523, shape=(), dtype=float64)","tf.Tensor(1439.8398075082805, shape=(), dtype=float64)","tf.Tensor(-5.999938254754726e-08, shape=(), dtype=float64)",0.010090360655357341,-0.7927726366656804,-0.7384075501533303
